Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,season_end_year,season
1.0,LeBron James,33.0,CLE,PF,82.0,82.0,3026.0,13.9,25.6,0.542,2.4,6.6,0.367,11.5,19.0,0.603,0.59,6.3,8.6,0.731,1.6,9.9,11.5,12.1,1.9,1.1,5.6,2.2,36.4,118.0,109.0,"MVP-2,AS,NBA1",2018,2017-18
2.0,Khris Middleton,26.0,MIL,SF,82.0,82.0,2982.0,9.9,21.3,0.466,2.4,6.8,0.359,7.5,14.5,0.517,0.524,5.4,6.1,0.884,0.8,6.4,7.2,5.5,2.0,0.4,3.2,4.5,27.6,111.0,111.0,,2018,2017-18
3.0,Andrew Wiggins,22.0,MIN,SF,82.0,82.0,2979.0,9.6,21.8,0.438,1.9,5.7,0.331,7.7,16.1,0.475,0.481,3.4,5.3,0.643,1.4,4.6,6.0,2.7,1.5,0.9,2.3,2.7,24.4,101.0,113.0,,2018,2017-18
4.0,Bradley Beal,24.0,WAS,SG,82.0,82.0,2977.0,11.4,24.8,0.46,3.3,8.8,0.375,8.1,15.9,0.507,0.527,4.9,6.2,0.791,1.0,5.0,6.1,6.2,1.6,0.6,3.6,2.7,31.0,109.0,110.0,AS,2018,2017-18
5.0,Jrue Holiday,27.0,NOP,SG,81.0,81.0,2927.0,10.0,20.3,0.494,2.0,5.8,0.337,8.1,14.5,0.557,0.543,3.0,3.9,0.786,1.0,4.9,6.0,7.9,2.0,1.0,3.5,3.3,25.1,110.0,109.0,"DPOY-7,DEF1",2018,2017-18
6.0,CJ McCollum,26.0,POR,SG,81.0,81.0,2923.0,11.4,25.6,0.443,3.2,8.1,0.397,8.1,17.5,0.465,0.506,3.6,4.3,0.836,0.9,4.6,5.5,4.6,1.3,0.6,2.6,2.9,29.5,108.0,109.0,,2018,2017-18
7.0,Karl-Anthony Towns,22.0,MIN,C,82.0,82.0,2918.0,11.0,20.1,0.545,2.1,4.9,0.421,8.9,15.2,0.585,0.596,5.9,6.9,0.858,4.1,13.3,17.3,3.4,1.1,2.0,2.7,4.9,29.9,127.0,107.0,"AS,NBA3",2018,2017-18
8.0,Russell Westbrook,29.0,OKC,PG,80.0,80.0,2914.0,12.9,28.7,0.449,1.7,5.6,0.298,11.2,23.2,0.485,0.477,7.1,9.6,0.737,2.6,11.1,13.7,14.0,2.5,0.3,6.5,3.4,34.5,109.0,104.0,"MVP-5,AS,NBA2",2018,2017-18
9.0,Paul George,27.0,OKC,SF,79.0,79.0,2891.0,9.9,23.0,0.43,4.2,10.5,0.401,5.7,12.5,0.454,0.521,5.8,7.1,0.822,1.2,6.4,7.7,4.5,2.8,0.7,3.6,4.0,29.8,112.0,106.0,"DPOY-4,AS,NBA3",2018,2017-18
10.0,Giannis Antetokounmpo,23.0,MIL,PF,75.0,75.0,2756.0,13.4,25.4,0.529,0.8,2.5,0.307,12.6,22.8,0.554,0.545,8.8,11.6,0.76,2.8,10.8,13.6,6.5,2.0,1.9,4.0,4.2,36.4,116.0,106.0,"MVP-6,AS,NBA2",2018,2017-18
11.0,Kemba Walker,27.0,CHO,PG,80.0,80.0,2736.0,10.5,24.3,0.431,4.1,10.7,0.384,6.4,13.6,0.469,0.516,6.5,7.5,0.864,0.6,3.9,4.4,7.9,1.6,0.4,3.2,1.7,31.6,115.0,111.0,AS,2018,2017-18
12.0,Ben Simmons,21.0,PHI,PG,81.0,81.0,2732.0,9.6,17.6,0.545,0.0,0.2,0.0,9.6,17.4,0.551,0.545,3.4,6.0,0.56,2.6,9.0,11.6,11.6,2.5,1.2,4.9,3.7,22.5,111.0,102.0,ROY-1,2018,2017-18
13.0,Anthony Davis,24.0,NOP,PF,75.0,75.0,2727.0,13.7,25.6,0.534,1.0,2.8,0.34,12.7,22.8,0.558,0.552,8.7,10.5,0.828,3.3,11.3,14.6,3.0,2.0,3.4,2.8,2.8,36.9,119.0,102.0,"MVP-3,DPOY-3,AS,NBA1,DEF1",2018,2017-18
14.0,Taj Gibson,32.0,MIN,PF,82.0,82.0,2726.0,7.8,13.5,0.577,0.1,0.6,0.2,7.7,12.9,0.595,0.581,2.6,3.4,0.768,3.6,7.2,10.7,1.8,1.1,1.1,1.6,4.0,18.3,123.0,112.0,,2018,2017-18
15.0,DeMar DeRozan,28.0,TOR,SG,80.0,80.0,2711.0,11.7,25.7,0.456,1.6,5.2,0.31,10.1,20.5,0.494,0.488,8.4,10.2,0.825,1.1,4.7,5.7,7.6,1.5,0.4,3.2,2.7,33.5,114.0,109.0,"MVP-8,AS,NBA2",2018,2017-18
