Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Utah Jazz*,52,20,0.722,—,116.4,107.2,8.97,West,2021,2020-21
Phoenix Suns*,51,21,0.708,1.0,115.3,109.5,5.67,West,2021,2020-21
Denver Nuggets*,47,25,0.653,5.0,115.1,110.1,4.82,West,2021,2020-21
Los Angeles Clippers*,47,25,0.653,5.0,114.0,107.8,6.02,West,2021,2020-21
Dallas Mavericks*,42,30,0.583,10.0,112.4,110.2,2.26,West,2021,2020-21
Portland Trail Blazers*,42,30,0.583,10.0,116.1,114.3,1.81,West,2021,2020-21
Los Angeles Lakers*,42,30,0.583,10.0,109.5,106.8,2.77,West,2021,2020-21
Golden State Warriors,39,33,0.542,13.0,113.7,112.7,1.1,West,2021,2020-21
Memphis Grizzlies*,38,34,0.528,14.0,113.3,112.3,1.07,West,2021,2020-21
San Antonio Spurs,33,39,0.458,19.0,111.1,112.8,-1.58,West,2021,2020-21
New Orleans Pelicans,31,41,0.431,21.0,114.6,114.9,-0.2,West,2021,2020-21
Sacramento Kings,31,41,0.431,21.0,113.7,117.4,-3.45,West,2021,2020-21
Minnesota Timberwolves,23,49,0.319,29.0,112.1,117.7,-5.25,West,2021,2020-21
Oklahoma City Thunder,22,50,0.306,30.0,105.0,115.6,-10.13,West,2021,2020-21
Houston Rockets,17,55,0.236,35.0,108.8,116.7,-7.5,West,2021,2020-21
